name,address,symbol,chain,slug,gecko_id,category,tvl,id_collection,update_date
1inch Network,ethereum:0x111111111117dc0aa78b770fa6a738034120c302,1INCH,Multi-Chain,1inch-network,1inch,Dexes,4235192.296288583,Automatically,2023-09-09
Lenfi,cardano:asset1khk46tdfsknze9k84ae0ee0k2x8mcwhz93k70d,AADA,Cardano,lenfi,aada-finance,Lending,5469794.693001671,Automatically,2023-09-09
AAVE V2,ethereum:0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Multi-Chain,aave-v2,aave,Lending,2285741053.3333,Automatically,2023-09-09
AAVE V3,ethereum:0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Multi-Chain,aave-v3,aave,Lending,2193972146.772314,Manually,2023-09-09
AAVE V1,ethereum:0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Ethereum,aave-v1,aave,Lending,10539111.844946343,Manually,2023-09-09
ABC Pool,conflux:0x905f2202003453006eaf975699545f2e909079b8,ABC,Conflux,abc-pool,abc-pos-pool,Staking Pool,4639172.16,Manually,2023-09-09
Allbridge,celo:0x6e512BFC33be36F2666754E996ff103AD1680Cc9,ABR,Multi-Chain,allbridge,allbridge,Bridge,3609296.431475309,Automatically,2023-09-09
Acala Swap,acala:-,ACA,Acala,acala-swap,acala,Dexes,2235488.568445396,Manually,2023-09-09
Acala Liquid-Staking,acala:-,ACA,Acala,acala-liquid-staking,acala,Liquid Staking,9021896.490406413,Manually,2023-09-09
Acala LCDOT,acala:-,ACA,Acala,acala-lcdot,acala,Liquid Staking,96464639.00109412,Manually,2023-09-09
ACryptoS,binance-smart-chain:0x4197c6ef3879a08cd51e5560da5064b773aa1d29,ACS,Multi-Chain,acryptos,acryptos,Yield Aggregator,19131897.907951094,Automatically,2023-09-09
Across,ethereum:0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,ACX,Ethereum,across,across-protocol,Cross Chain,52759408.55136289,Automatically,2023-09-09
Aerodrome,base:0x940181a94A35A4569E4529A3CDfB74e38FD98631,AERO,Base,aerodrome,,Dexes,147260517.99864483,None,2023-09-09
Agave,xdai:0x3a97704a1b25f08aa230ae53b352e2e72ef52843,AGVE,xDai,agave,agave-token,Lending,9560989.914425686,Automatically,2023-09-09
Alien Base StableSwap,base:0x1dd2d631c92b1acdfcdd51a0f7145a50130050c4,ALB,Base,alien-base-stableswap,alienbase,Dexes,1523288.5240509813,Manually,2023-09-09
Alien Base AMM,base:0x1dd2d631c92b1acdfcdd51a0f7145a50130050c4,ALB,Base,alien-base-amm,alienbase,Dexes,12567455.11386792,Manually,2023-09-09
Alchemix,ethereum:0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,ALCX,Multi-Chain,alchemix,alchemix,Synthetics,53151653.082110085,Automatically,2023-09-09
ALEX,stacks:SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9,ALEX,Stacks,alex,alexgo,Dexes,13397937.677916603,Automatically,2023-09-09
Alpaca Leveraged Yield Farming,binance-smart-chain:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,Multi-Chain,alpaca-leveraged-yield-farming,alpaca-finance,Leveraged Farming,70192362.2268072,Automatically,2023-09-09
Alpaca Finance 2.0,binance-smart-chain:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,Binance,alpaca-finance-2.0,alpaca-finance,Lending,4980228.981651735,Manually,2023-09-09
