,addresses
1inch,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x111111111117dc0aa78b770fa6a738034120c302'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '111111111117dc0aa78b770fa6a738034120c302.factory.bridge.near'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x111111111117dc0aa78b770fa6a738034120c302'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xd501281565bf7789224523144fe5d98e8b28f267'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x58f1b044d8308812881a1433d9bbeff99975e70c'}, 'energi': {'decimal_place': 18, 'contract_address': '0xdda6205dc3f47e5280eb726613b27374eee9d130'}}"
aada-finance,"{'cardano': {'decimal_place': 6, 'contract_address': '8fef2d34078659493ce161a6c7fba4b56afefa8535296a5743f69587'}}"
aave,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9'}, 'sora': {'decimal_place': 18, 'contract_address': '0x0091bd8d8295b25cab5a7b8b0e44498e678cfc15d872ede3215f7d4c7635ba36'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.factory.bridge.near'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xfb6115445bff7b52feb98650c87f44907e58f802'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x76fb31fb4af56892a25e32cfc43de717950c9278'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x202b4936fe1a82a4965220860ae46d7d3939bb25'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xd6df932a45c0f255f85145f286ea0b292b21c90b'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x63a72806098bd3d9520cc43356dd78afe5d386d9'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x6a07a792ab2965c72a5b8088d3a069a7ac3a993b'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0xcf323aad9e522b93f11c352caa519ad0e14eb40f'}, 'energi': {'decimal_place': 18, 'contract_address': '0xa7f2f790355e0c32cab03f92f6eb7f488e6f049a'}}"
abc-pos-pool,"{'conflux': {'decimal_place': 18, 'contract_address': '0x905f2202003453006eaf975699545f2e909079b8'}}"
abel-finance,"{'aptos': {'decimal_place': 8, 'contract_address': '0x7c0322595a73b3fc53bb166f5783470afeb1ed9f46d1176db62139991505dc61::abel_coin::AbelCoin'}}"
allbridge,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa11bd36801d8fa4448f0ac4ea7a62e3634ce8c7c'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x68784ffaa6ff05e3e04575df77960dc1d9f42b4a'}, 'solana': {'decimal_place': 9, 'contract_address': 'a11bdAAuV8iB2fu7X6AxAvDTo1QZ8FXB3kk5eecdasp'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xafc43610c7840b20b90caaf93759be5b54b291c9'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x04429fbb948bbd09327763214b45e505a5293346'}, 'celo': {'decimal_place': 18, 'contract_address': '0x6e512bfc33be36f2666754e996ff103ad1680cc9'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x543acd673960041eee1305500893260f1887b679'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x2d7e64def6c3311a75c2f6eb45e835cd58e52cde'}, 'aurora': {'decimal_place': 18, 'contract_address': '0x2bae00c8bc1868a5f7a216e881bae9e662630111'}, 'near-protocol': {'decimal_place': 24, 'contract_address': 'abr.a11bd.near'}}"
acala,"{'polkadot': {'decimal_place': None, 'contract_address': ''}}"
acryptos,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4197c6ef3879a08cd51e5560da5064b773aa1d29'}}"
across-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f'}, 'boba': {'decimal_place': 18, 'contract_address': '0x96821b258955587069f680729cd77369c0892b40'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf328b73b6c685831f238c30a23fc19140cb4d8fc'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x53691596d1bce8cea565b84d4915e69e03d9c99d'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xff733b2a3557a7ed6697007ab5d11b79fdd1b76b'}}"
adamant,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc3fdbadc7c795ef1d6ba111e06ff8f16a20ea539'}}"
agave-token,"{'xdai': {'decimal_place': 18, 'contract_address': '0x3a97704a1b25f08aa230ae53b352e2e72ef52843'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x848e0ba28b637e8490d88bae51fa99c87116409b'}}"
alienbase,"{'base': {'decimal_place': 18, 'contract_address': '0x1dd2d631c92b1acdfcdd51a0f7145a50130050c4'}}"
alchemix,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xdbdb4d16eda451d0503b854cf79d55697f90c8df'}, 'near-protocol': {'decimal_place': 18, 'contract_address': 'dbdb4d16eda451d0503b854cf79d55697f90c8df.factory.bridge.near'}}"
alexgo,"{'': {'decimal_place': None, 'contract_address': ''}}"
algebra,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x0169ec1f8f639b32eec6d923e24c2a2ff45b9dd6'}}"
alita,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x557233e794d1a5fbcc6d26dca49147379ea5073c'}}"
alienfi,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x6740acb82ac5c63a7ad2397ee1faed7c788f5f8c'}}"
alpaca-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8f0528ce5ef7b51152a59745befdd91d97091d2f'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xad996a45fd2373ed0b10efa4a8ecb9de445a4302'}}"
alpha-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa1faa113cbe53436df28ff0aee54275c13b40975'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa1faa113cbe53436df28ff0aee54275c13b40975'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x2147efff675e4a4ee1c2f918d181cdbd7a8e208f'}, 'energi': {'decimal_place': 18, 'contract_address': '0x05b357201b31093a13a22d76de1b1eb23ad83017'}}"
altitude,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x8929e9dbd2785e3ba16175e596cdd61520fee0d1'}}"
alongside-crypto-market-index,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xb87904db461005fc716a6bf9f2d451c33b10b80b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x498c620c7c91c6eba2e3cd5485383f41613b7eb6'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xc27d9bc194a648fe3069955a5126699c4e49351c'}}"
